title	ppns
Dagblad van Zuid-Holland en 's-Gravenhage	844276553
Dagblad van Zuidholland en 's Gravenhage	832866024;832866024
Dagblad van het Oosten : Almelo's dagblad	832386332
Dagblad van het Zuiden voor Eindhoven, Meierĳ, Peel en Kempenland	832386383
Dagblad van het departement der monden van den Rhyn	853481180
Dagblad voor Leiden en omstreken	843182482
Dagblad voor Noord-Holland	832865133;852180691
"Dagblad voor Noord-Holland waarin opgenomen De Zaanlander en de 
Beverwĳksche courant Kennemerland"	37307290
Dagblad voor West-Friesland	832865966
Dagblad voor de veenkolonieën en omliggende streken	832865877
Dagelĳks nieuwsbulletin de Notedop	269126783
Dagelĳks verschĳnend berichtenblad	269126929
Dagelĳksch bulletin van het zondagavondblad	842804455
Dagelĳksche beurscourant : de Nederlandsche financier	831666854
Daily world news	269128816
"Das Freie Wort : nur der darf von Freiheit sprechen, der den Mut hat gegen ihre 
Feinde zu kämpfen"	269284877
De 's-Gravenhaagsche nieuwsbode	38215896
De Aabode	850945224
De Aanval	319013294
De Amersfoortsche courant : dagblad voor Amersfoort en omstreken	832338265
De Amsterdammer	268597766
De Amsterdammer : christelijk volksdagblad	83233832X
De Amsterdammer : dagblad voor Nederland	832338389;852090811;852091370
De Bepiegde heeuw	268956693
De Berichtgever	268962200
De Bevrĳding	268963258;268963460
"De Bevrĳding : dagblad ter verspreiding van het nieuws onder auspiciën der 
V.I.V."	268964181
De Bevrĳding : geautoriseerde uitgave	26896386X
De Bierkaai : Fides et Amicitia	268962316
De Blaozepiepe	268962405
De Brabanter : edele Brabant were di	48770183
De Brandarisbrief	268964912
De Curaçaosche courant	83063827X
De Dageraad : geallieerd ochtendblad	269128190
De Dageraad : geallieerd ochtendblad : non si male nunc, et olim sic erit	269128263;269128328
De Daverende dingen dezer dagen	319013332
De Domme Hollander	269241434
De Dordtsche koerier	46093095
De Duikbode : vrĳe wereld nieuws	269244573
De Duikelaar : weekblad voor onderduikers	269244980
De Duikhoek : blad voor de Noord-Oostpolder	269126511
De Duinstreek	269126562
De Eendracht : in samenwerking met Christofoor	319008770
De Engelse zender : nevenuitgave van de Kroniek van de week	269251375
De Expres	44691467;147644011
De Frontloupe	269298592
De Gazette	269425411
De Geus	269427678
De Geus van 1940	269427775
"De Geuzenpost : nieuwsblad voor Haarlem en omstreken ; onder auspiciën der 
V.I.V."	269428119
De Gids	269428224
De Gids : orgaan der metaalindustrie	269428275
De Glimworm	26942850X
De Goede Goy : daagelĳkse thĳdinghe met berigten van alle krĳgsbedrĳfhen	269475419
De Goede bron : nieuwsblad voor Amstelland en de Vechtstreek	269475311
De Gooi- en Eemlander : nieuws- en advertentieblad	832401439
"De Gooise koerier : dagelĳks nieuwsorgaan van het Oranje-Bulletin voor 
Hilversum en omgeving"	269476261
"De Graafschap-bode : nieuws- en advertentieblad voor stad- en ambt-
Doetinchem, Hummelo en Keppel, Wehl, Zeddam, 's Heerenberg, Ulft, 
Gendringen, Sillevolde, Terborg, Varsseveld, Dinxperlo, Aalten, Breedevoorde, 
Lichtenvoorde, Groenlo, Neede, Eibergen, Bor"	832915580
De Grafische arbeider	269476954
"De Groninger oranjebode : mededeelingenblad der gezamenlĳke illegale 
Groninger pers"	832402222
De Haagsche groene : algemeen Nederlandsch dagblad	860819000
"De Heerenveensche koerier : onafhankelĳk dagblad voor Midden-Zuid- Oost-
Friesland en Noord-Overĳssel"	831707887
De Indische courant	44787111
"De Juinensche Courant : nieuwsblad voor Groot- Juinen (w.o. Zeulen, Deil, Ter 
Weksel, Juinerbroek, Den Eng, Remmerden, Slaepstede, Trichterhuizen en De 
Mars)"	833478028
De Kaak	269710744
De Kaars : brengt licht in duistere tĳden	269710922
De Kern	269712739
De Kern : voor de Nederlandse jeugd	269712852
De Keten = Hasjalsjèeleth : periodiek voor ondergedoken joden in Nederland	04507061X
De Kieuwelander	269714839
De Kievit : voor Nĳkerk en omstr.	319008495
De Klapekster : orgaan der V.N.V.	269714936
De Kleefse koerier : vanouds De Zwarte Omroep	269715657
De Kleine kroniek	269716068
De Kleine patriot : dagblad voor de omstreken van Haarlem	269716335
De Kleine stem	269716742
De Koerier: dagblad voor Ned.-Indië	45074674
De Koevoet	269717005
De Krant : het opregte huysorgaan	269718648
De Kurk	269909346
De Laatste 24 uur	27008990X
De Laatste loodjes	308380762
De Laatste loodjes : uitgave van Je maintiendrai	277171997
De Laatste ronde	270088784
De Laatste ronde : dagelĳksche editie van Novum en Het Zondagsblad	27008942X
De Laatste vuurproef	270090045
De Lampyris : brengt licht in donkere dagen	270090282
De Leidsche brief	270090363
De Libertĳn	270090894
De Lichtstraal	270096922
De Limburger	424119714
De Limburgsche illustratie	40091476X
De Lingebode	27009914X
De Luisterpost : ergens in Nederland	27010402X
De Luistervink	270104666;270104801;43401872
"De Luistervink : Oranje Boven!! : dagelĳksche mededelingen voor Haarlem en 
omstreken"	270104577
De Luistervink : nieuws van alle fronten	841714614
De Luistevink	27010478X
De Maasbode	832460079
De Maasbode : God en mĳn recht	270116613
De Maasmonder	40137937;40138844
De Mare	270117474
De Margriet : Gooisch dagblad	270118411
De Meerbode	270123377
De Moderne staat	270125531
"De Moderne staat : orgaan voor de wederopbouw in groot verband van volk en 
staat"	270125892
De Mol : Schipluids ondergronds dagblad	270126015
De Morgenpost	270126759;270126805
De Nachtwacht	270425896
De Nederlander	84409708X;270429581
De Nederlander : Christelijk historisch dagblad voor Nederland	86315591X
"De Nederlander : nieuwe Utrechtsche courant : (staatkundig- nieuws-, handels- 
en advertentie-blad) / onder red. van J. van Hall"	832468649
De Nederlandsche gedachte : onder auspiciën van De patriot	852771185
"De Nederlandsche journalist / maandblad van het verbond van Nederlandsche 
journalisten"	83246919X
De Nederlandsche mail : wekelijksche courant voor Oost- en West-Indië	841467471
De Nederlandsche transportcourant	843359358
De Nederlandse leeuw	27043075X;32031264X
De Nederlandse patriot : strĳdblad voor Koningin en vaderland!	270431098
De Nieuwe koerier	270432930
De Nieuwe linie	270433147
De Nieuwe orde	27043318X
De Nieuwe vrĳheid	270433481
De Nieuwsbode : dagblad voor het bezette Nederlandse gebied	270516522
De Nieuwsbron	270516603
"De Nieuwskroniek : voor het Eemland ; uitgave Kroniek van de week en Het 
Parool"	271348356
De Nieuwspomp	271348739
De Noord-Brabanter : staat- en letterkundig dagblad	833013858
De Noord-Ooster	832308188
De Noordfries	271349263
De Notedop	271349425
"De Onderduiker : maandblad voor die Nederlanders, die het gevaar prefereren 
boven het werken voor de vĳand"	271351063
De Ondergrondsche koerier : Oranje boven!	271351578
De Ondergrondse	271351683
"De Oostpost : letterkundig, wetenschappelĳk en commercieel nieuws- en 
advertentieblad"	45136599
De Oprechte Haarlemmer	271453443
De Oprechte-Delftenaar : periodiek onder Delftsche studenten	266290183
De Oranje gids : voor: vrĳheid, waarheid en recht	266289118
De Partisaan : het nieuws uit de aether, vrĳ van geleuter	271466073
De Patriot	271476052;271477008;271479779;271479973
De Patriot : orgaan voor strĳdend Nederland	271475994
De Peel- en Kempenbode	832520187
"De Pers : maandblad voor het Nederlandsche perswezen ; officieel orgaan van 
het persgilde der Nederlandsche Kultuurkamer"	832520284
De Politiek-militaire toestand	271544546
De Postduif	271544953
De Preanger-bode	400337630
De Radiokrant	271548037
De Rode October : orgaan van het Comité van Revolutionnaire Marxisten (CRM)	832136948
"De Rotterdamsche post : geïllustreerd maandblad voor het bezette 
Nederlandsche gebied"	271566817
De Schakel : den vaderlant ghetrouwe blĳf ick tot in den doot	271567082
De Schans : steunpunt tot actief geestelĳk verzet	271567317
De Schĳnwerper	271567538
De Sheboygan Nieuwsbode	303989483
De Sneeuwbalbrief	271568038
De Snorder	271568208
De Spotvogel	27156878X
De Steekvlam	271568917
De Stem : dagelĳks nieuwsblad voor 's-Gravenhage en omstreken	271569115
De Stem : voor God, Koningin en Vaderland	271569050
De Stem der vrĳheid	271569158;271577908
De Stem van Londen	271569212
De Stem van Radio Oranje	271577215
De Stem van strĳdend Nederland	271577274
"De Stem van strĳdend Nederland : dagelĳks nieuwsblad voor 's-Gravenhage en 
omstreken"	271577363
De Stem van strĳdend Nederland spreekt door ...	271577606
De Stem van vrĳ Nederland : voor God, Koningin en Vaderland	271577746
De Ster	271582103
De Stille	319007073
De Stille waarheid	271582219
De Stormwind	271582596
De Stroomloze	271582677
De Sumatra post	45042624
De Surinaamsche nieuwsvertelder	44511280
De Surinamer : nieuws- en advertentieblad	44511132
De Telegraaf	832675288;41286956X
De Tijd De Maasbode	842126635
De Tohindo Nippo = Oost Indische courant	149056354
De Tondeuse	27162230X
De Typhoon	272573353;272573426
De Tĳd : godsdienstig-staatkundig dagblad	832688045
De Uilenspiegel der Utrechtsche studenten	272575208
De Uitkĳk : weekblad van illegale strĳders	272575585
De V 3	47272481
De Vakbeweging : orgaan voor vrĳe moderne vakbeweging in Nederland	272578835
De Verkenner : lĳfblad voor verkenners die trouw bleven!!	272581119
De Verslaggever van ons vrĳe Nederland	272581658
De Vertegenwoordigers van alle universiteiten en hogescholen aan de studenten	27258178X
De Vlaardinger	401328392
De Vlietstreek : dagblad voor Voorburg, Leidschendam en Stompwĳk	863543464
De Vluchteling in zĳn schuilplaats	272583049
De Volhouder	272583405
De Volkskrant	832697877;412869594
De Volksstem	331826631
De Volksvriend	331833263
De Vonk	272607398;272607835;272607975;272608203;272608610;272608947;278625924
De Vonk : 'uit de vonk zal de vlam oplaaien'(Poesjkin)	272609099
De Voorbode	27262845X
De Voorlichter	272628530
De Vossenburcht	27262909X
De Vrĳbuiter	274435918;274435985
De Vrĳbuiter : uitgave van het G.O.N.	274436035
De Vrĳe Amersfoorter	116562951
De Vrĳe Kennemer : bĳlage bĳ De Vonk	274548712
De Vrĳe Nederlander	274549522
De Vrĳe Schager	274551179
De Vrĳe Scheldestroom	274551438
De Vrĳe jeugd : uitgave van het Jeugdcomité	27454850X
De Vrĳe journalist	274548623
De Vrĳe katheder	274442035
De Vrĳe koerier : weekblad voor strĳdend Nederland	274549042
De Vrĳe krant	274549131
De Vrĳe pers	274549743;274550814;274551101
De Vrĳe pers : orgaan voor de verzetsgroep Meppel	274550741
De Vrĳe pers : uitgave onder auspiciën van Vrĳ Nederland en Het Parool	274550229
De Vrĳe standaard : onafhankelĳke Nederlandsche courant	274551616
De Vrĳe stem	274551764;274551853;274552124
De Vrĳheid : periodiek voor Zeeland	319007235
De Vuurpĳl : het weekblad voor werkend Nederland	840991622
De Waag : algemeen cultureel, politiek en economisch weekblad voor Nederland	832267694
De Waarheid	275156990;275157091;275157350;27515744X
De Waarheid : orgaan van de Nederlandse vrĳheidsstrĳders	275157784
De Waarnemer	275898563
De Wachter	275898717
De West : nieuwsblad uit en voor Suriname	851694616;424119927
De West-Indiër : dagblad toegewĳd aan de belangen van Nederlandsch Guyana	45270368
De Zaanlander	860763250;04830204X
De Zeeuwsche koerier : berichten van de B.B.C.	319006336
De Zoom : nieuws- en advertentieblad van Bergen op Zoom en omstreken	833105159
De Zuid-Willemsvaart : nieuws- en advertentieblad voor handel en landbouw	833105906
De Zuiderzeebode	116562927
De Zutphense courant	275898075
De Zweepslag	275898199
De Zwerver	275898350
De Zwĳger	275161609
De aetherbode	268462992
"De aetherpost : dagblad voor strĳdend Nederland ; voor koningin en vaderland ; 
uitgegeven door Neerlands vrĳe pers"	268596204
"De avondbode : algemeen nieuwsblad voor staatkunde, handel, nijverheid, 
landbouw, kunsten, wetenschappen, enz. / door Ch.G. Withuys"	831612029
De avondster : katholiek dagblad voor Nederland	832797723
De baanbreker : sociaal-democratisch orgaan	26860178X;268602255;277170273;83161224X;853225311;853225427;853730792;853730970
De banier	830566333
De banier : staatkundig gereformeerd dagblad	853918880
De banier van waarheid en recht : Surinaamsch nieuws- en advertentieblad	56839383
De bazuinstoot	26879667X
"De bevrĳding : weekblad uitgegeven door de Indonesische Vereniging 
Perhimpoenan Indonesia"	832242594
De bezem : de waarheid, de leugen	308358139
De brandaris	26905054X
De constitutioneel : nieuwe 's-Gravenhaagsche courant	830613439
De courant	832369284
De courant Het nieuws van den dag	832369624
De eendracht	04700147X
De eendracht : concordia res parvae crescunt	269248420
De eenpitter	269249036
De eindspurt	26924977X
De eindstrĳd	851579108
De fakkel	51495058
De geus onder studenten	107123223
De gil : periodiek verschijnend orgaan voor nuchter Nederland	831684070
De gil : periodiek verschĳnend orgaan voor nuchter Nederland	831684216
De groene Dordtenaar	48802271
De grondwet	331821869;830780084
"De grondwet : Rosendaalsche en Nieuwe Zevenbergsche courant, voor 
godsdienst, koning en vaderland"	832916323
De heraut : ik bemin de waarheid en de klaarheid	852342918
De jonge stem : orgaan der samenwerkende jeugdgroeperingen	44864779
De koerier	831074663;852762003
De koerier : berichtenblad van Je maintiendrai	269719652;26971989X;865833079
De koerier : berichtenblad van Je maintiendrai voor Franeker en omgeving	41668456
De koerier : meedelingenblad van Je maintiendrai / [red. J.J. Kalma]	41668677
De koerier : streekblad voor de Hoeksche Waard e.o.	269719806
De kolonist : dagblad toegewyd aan de belangen van Suriname	45075190
De landwachter	116631244
De locomotief : Samarangsch handels- en advertentie-blad	852209738;424119943
De luistervink : en toch draait zĳ	43401872
De mare : periodiek van het voormalige nieuwsbulletin The Home Service	46708960
"De marskramer : -voorwaarts vaderland, riemen om de kin, met God door bloed 
en tranen een schoner toekomst in-"	852675062
"De misthoorn : onafhankelijk en onpolitiek orgaan tot wering van den joodschen 
invloed : officieel orgaan van het Comité tot Bestudeering van het Joodsche 
Vraagstuk"	831750286
De morgenpost	46810994
De nationale eenheid : dagelĳks nieuws	865175780
De nieuwe Amsterdammer : voortzetting van Op wacht in Amsterdam	841513775
De nieuwe Haagsche : algemeen Nederlandsch weekblad	841514577
De nieuwe Haagse Nederlandse courant	832490474;424119765
De nieuwe Nederlander	832490962
De nieuwe Nederlandsche courant	832490822
De nieuwe courant	832470015
De nieuwe gids	270432671
De nieuwe koerier : Maas- en Roerbode : provinciaal Limburgsch dagblad	40936929
De nieuwe vorstenlanden	45113858
"De nieuwe wĳnzak : leidraad tot verdieping van het staatsburgerlĳk denken - 
door en voor werkers en verzetters"	43578659
De nieuwsbode : dagblad van de vrĳe pers	49004107
De nieuwsbode : orgaan van de vrĳe pers	46996702;861431189
De nieuwsgier	45115036
De notedop : the war in a nutshell	852809840
De observator	47603062
De onderduiker	861285859
De oost : Indië zal herrĳzen	63686120
De opdracht : tĳdschrift gewĳd aan het nieuwe Indië	832258199
"De pionier : [blad van de jongerengroep van het Comité van Revolutionnaire 
Marxisten (CRM)]"	271579927
De ploeg : orgaan van Democratisch Socialistische Jongeren	26628129X
De ploeg : wil opwekken tot bezinning op onze naoorlogsche taak	832097519
De prins der geïllustreerde bladen	831375728
De residentiebode	832564370
De roskam : voor God, koningin en vaderland, voor vrĳheid, waarheid en recht	271566663
De runderpest : bijlage tot De landbouw-courant	86129288X
De schildwacht : onafhankelĳk Nederlandsch weekblad	832138266
"De schouw : orgaan van de Nederlandsche Kultuurkamer, gewijd aan het 
kultureele leven in Nederland / hoofdred.: T. Goedewaagen; eindred.: Henri 
Bruning"	832155217
De schuine Piet / Sancho Panza	187551707
De sirene	41054350
De sociaaldemokraat	424119722
De standaard	832667536
De stem : voor God, koningin en vaderland	852857039
De stem van de strijd	321072391
De stiennen man : nasionael bled	841345775
De toekomst	266281095
De trapper	04879533X
De tribune : soc. dem. weekblad	841201854
De trom : officieel orgaan van het Nationaal Jongeren Verbond	851695671
De typhoon	04673774X
De tĳd : dagblad voor Nederland	842127143
De unie : orgaan van de Nederlandsche Unie	841303983
De verrekijker : onafhankelĳk periodiek voor Nederland	116560738
De voorheen Nederlandsche, nu de Vaderlandsche courant	48229636
De voorheen Stichtsche nu Rhynlandsche courant	833080873
"De vrije kerk : weekblad ten dienste van het gereformeerde leven / onder 
hoofdred. van R.H. Bremmer."	98549219
De vrije pers : ochtendbulletin	262842572
De vrije socialist	833088343
De vrĳbuiter	274433567;274433680
De vrĳe Alkmaarder : uitgave van het Parool, Vrĳ Nederland en Robu	843257903
De vrĳe Bussumer : blad voor Bussum, Naarden en omstreken	274454939
De vrĳe Gooi- en Eemlander	852770995
De vrĳe Harlinger	274547449
De vrĳe bazuin	274454351
De vrĳe cronyck : onafhankelĳk dagblad	274455455
De vrĳe duiker	278626173
De vrĳe gedachte	41198395
De vrĳe katheder : bulletin ter verdediging van de universiteiten	840836732
De vrĳe kerk : reformatorische stemmen / hoofdred. C. Vonk ... [et al.]	864615450
"De vrĳe kunstenaar : waarin opgenomen de 'Brandarisbrief' : religieus en politiek 
onafhankelĳk orgaan voor de Nederlandsche kunstenaar"	852041640
De vrĳe nieuws centrale	47150238
De vrĳe pers	843431210;860938182
De vrĳe pers : algemene documentatie	266288715
"De vrĳe pers : bulletin van de samenwerkende illegale organen : De frontloupe, 
Het parool, Trouw, Vrĳ Nederland en de Waarheid"	843432225
"De vrĳe pers : dagblad voor Dordrecht en omstreken : verzorgd door Ons vrĳe 
Nederland, Parool, Trouw, Vrĳ Nederland"	843430826
De vrĳe pers : orgaan ter voorlichting van het Nederlandsche volk	853235171
"De vrĳe pers : uitgave van: De geus, Je maintiendrai, Ons volk, Het parool, 
Stentor, De toekomst, Trouw, De vonk, De vrĳe gedachte, De vrĳe katheder, Vrĳ 
Nederland en De waarheid"	843431857
"De vrĳe stemmen van Schouwen-Duiveland : tevens mededeelingenblad militair 
gezag"	831550899
De vrĳe wereld : wekelĳksche uitgave van De patriot	860976505
De vrĳheid	274780704
De vrĳheid : giet trots en fierheid in het hart van wie Uw stemme hoort!	274780313
De vrĳheid : voor Koningin en vaderland	274780437
De vrĳheid : voor humaniteit en waarheid	27478081X
De vrĳheid daagt	274780941
De vrĳheidsdrang	274781050
De vrĳheidsstem	274781085
De vrĳheidsvaan	278626386
De vuurploeg	274781107
De vuurtoren	47162732
De vĳfde colonne	274781182
De waarheid	275156443;275158357;832737666;862182611;862185688;862186307;863778763;865870004
De waarheid : -al is de leugen nog zo snel, de waarheid achterhaalt haar wel...-	45312338
De waarheid : volksdagblad voor Nederland	862185971;862186188
De wacht	44182058
De weeklyksche ... Surinaamse Courant	269622942
De weg : nationaal weekblad / Nationaal Front	841094454
De wegwĳzer	841094578
De wekker	276362373;27636239X
De zender	48772305
De zwarte omroep : sub tuum praedisium	275162982
De zwarte soldaat : blad voor de WA	832307564
De zwĳger	51464977
Delfsche courant	842817433
Delftsche courant : nieuwsblad voor Delft en Delfland	85216792X;85216792X
Deli Courant	045200106
Den Vaderlandt ghetrouwe	272578487
Den Vaderlant ghetrouwe	272578576;272578657
Den vaderlant ghetrouwe : op de bres voor herstel en vernieuwing	832386545
Der dumme Hollander	319013391
Deutsche Soldatenzeitung fuer die Niederlande	269128999
Die Letzte Chance! : Organ der Deutschen Widerstandsbewegung	270090622
Diemer- of Watergraafs-meersche courant	832386685
Dispereert niet!	269129146
Dispereert-niet!	26912926X
Door moedig volharden zullen wĳ slagen : Nederland komt vrĳ	188882901
Doorgeven	269244263
Dordrechtsche courant	852172966
Dragtster courant	831548487
Drentsch dagblad : officieel orgaan voor de provincie Drenthe	863332315
Drentsche courant	832874434;42411982X
Duikelaartje	269245790
Duinkerksche historische courant	862839696
E.N.R.O. nieuws	269251634
Een hart onder den riem : overzicht	319013510
Eendracht maakt macht	269248544;269248625
Eendracht maeckt maght	269248803
Eindhovensch dagblad	832387878
"Eindhovensche en Meierĳsche courant : dagblad voor Eindhoven en 
Noordbrabant"	832393630
Elf uur	269250107
Elva	277349621
"En   passant   :   tĳdelĳk verschĳnend  tĳdsverschĳnsel met literair karakter / 
onder red. van Willem Karel van Loon"	861294173
Ende desespereert niet	269250727
Ende dispereert niet	269251227
Ende dispereert niet : weekblad voor en door Hollands jongeren	269250980
Etappe der ineenstorting	852208146
Europeesche geschriften	269252061
Europische : ... courant	237818450
Feiten	269283358
"Feuille d'affiches, annonces et avis divers de Groningue = Advertentieblad, 
bekendmakingen en onderscheidene berigten van Groningen"	852885733
"Feuille politique du département de l'Issel-supérieur = Staatkundig dagblad van 
het departement van den Boven-Ĳssel"	841765154
"Feuille politique du département du Zuiderzee = Staatkundig dagblad van het 
Departement der Zuiderzee"	832881147
Filmbulletin : uitgave voor filmvrienden in Nederland	26928351X
Flitspuitje	26928396X
Fotonieuws : de spiegel der beweging	44710674
Freie Presse : deutsche Ausgabe für die Wehrmacht	269284621
Friesch dagblad	832394742
Friesche courant	865040222;865286353
Friesche courant : gelykheid, vryheid en broederschap	43427480
Friese koerier : onafhankelĳk dagblad voor Friesland en aangrenzende gebieden	832395153
Front en heem : krant voor de Nederlandsche vrijwilligers	189867612
Front- en wereldnieuws	26928544X
Front-flitsen	269298509
Frontnieuws	269298665;269298932;269299033
Frontzorg	320313107
Frysk en frĳ : nĳsblêd for it Fryske folk	841772215
Fryslân oerein / verzorgd door de gezamelĳke illegale pers	03810833X
Gazette d'Amsterdam = Amsterdamsche courant	85045672X
Gazette d'Utrecht = Utrechtsche courant	852482604
Gazette de Delft = Delftsche courant	832881279
Gazette de Frise = Vriesche courant	43516505
Gazette de Groningue = Groninger courant	852879873
Gazette de Harlem = Haarlemsche courant	832881740
Gazette de Leuwarde = Leeuwarder courant	852113595
Gazette de Middelbourg = Middelburgsche courant	43941850
Gazette de Rotterdam	833131796
"Gazette du département de l'Ems occidental = Courant van het departement van 
de Wester Eems"	832881546
Gazette ordinaire d'Amsterdam	303440112
Geallieerd nieuws	269426043
